,,Objeto_Almejado,Preensão_Esperada,Preensão_Classificada,Angulação_Esperada,Angulação_Obtida,Tempo_Gasto,Objeto_Escorregou
BLOCO1,0,Chave de fenda,Tripod,T,-7,-4,13.23,N
BLOCO1,1,Colher,Tripod,T,-19,-17.2,7.4,N
BLOCO1,2,Celular,Power,P,41,38.4,8.64,N
BLOCO1,3,Lâmpada,Power,P,-30,-32.1,12.5,N
BLOCO1,4,Carteira,Power,P,8,-9.3,9.81,N
BLOCO1,5,Parafuso,Tripod,T,-2,-4.9,8.98,N
BLOCO2,0,Chave de fenda,Tripod,T,-84,-85.8,12.53,N
BLOCO2,1,Caneca,Power,T,-8,-3.3,9.83,N
BLOCO2,2,Escova de dentes,Tripod,T,-33,-24.8,14.71,N
BLOCO2,3,Colher,Tripod,T,51,57.0,10.43,N
BLOCO2,4,Lâmpada,Power,P,25,26.3,12.33,N
BLOCO2,5,Laranja,Power,P,60,36.6,10.05,S
BLOCO3,0,Parafuso,Tripod,T,46,45.9,13.46,N
BLOCO3,1,Chave fixa,Tripod,T,-83,-76.6,19.11,N
BLOCO3,2,Lâmpada,Power,T,-34,-24.3,10.61,N
BLOCO3,3,Colher,Tripod,T,-35,-40.5,11.44,N
BLOCO3,4,Laranja,Power,T,-1,0,10.7,N
BLOCO3,5,Celular,Power,T,-12,-14.1,9.95,N
BLOCO4,0,Caneca,Power,P,-38,-56.7,14.98,N
BLOCO4,1,Parafuso,Tripod,T,-31,-27.2,13.12,N
BLOCO4,2,Chave fixa,Tripod,T,-86,-76.4,19.53,N
BLOCO4,3,Colher,Tripod,T,-81,-81,10.98,N
BLOCO4,4,Carteira,Power,P,52,60.3,15.01,N
BLOCO4,5,Laranja,Power,P,-32,-34.7,9.72,N
BLOCO5,0,Lâmpada,Power,T,17,25.2,7.74,N
BLOCO5,1,Carteira,Power,P,67,63.8,13.93,N
BLOCO5,2,Parafuso,Tripod,T,68,69,21,N
BLOCO5,3,Chave fixa,Tripod,T,-10,-10.5,11.31,S
BLOCO5,4,Laranja,Power,T,64,0,12.99,N
BLOCO5,5,Escova de dentes,Tripod,T,3,9.3,16.38,N
